game_id,target
5,1
7,1
12,1
15,1
20,1
22,1
24,1
27,1
28,1
30,1
31,1
33,1
34,1
36,1
38,1
44,1
45,1
46,1
49,1
52,1
56,1
59,1
63,1
64,1
71,1
75,1
81,1
85,1
94,1
95,1
104,1
105,1
108,1
109,1
110,1
112,1
115,1
118,1
121,1
122,1
124,1
125,1
133,1
134,1
142,1
143,1
147,1
148,1
149,1
150,1
152,1
156,1
157,1
159,1
161,1
163,1
172,1
181,1
182,1
183,1
187,1
193,1
203,1
206,1
207,1
209,1
210,1
211,1
217,1
222,1
223,1
224,1
225,1
236,1
237,1
238,1
241,1
244,1
246,1
249,1
251,1
255,1
261,1
263,1
264,1
270,1
271,1
273,1
278,1
279,1
284,1
286,1
288,1
292,1
297,1
302,1
304,1
305,1
307,1
308,1
312,1
314,1
315,1
317,1
322,1
323,1
328,1
329,1
331,1
339,1
349,1
352,1
359,1
361,1
367,1
368,1
369,1
370,1
375,1
382,1
384,1
386,1
390,1
392,1
393,1
394,1
396,1
397,1
398,1
399,1
405,1
410,1
411,1
413,1
416,1
417,1
418,1
420,1
433,1
436,1
442,1
451,1
454,1
455,1
456,1
457,1
460,1
462,1
465,1
467,1
470,1
471,1
475,1
476,1
477,1
484,1
490,1
492,1
493,1
496,1
498,1
506,1
509,1
514,1
516,1
520,1
521,1
522,1
526,1
527,1
528,1
531,1
532,1
537,1
541,1
542,1
543,1
544,1
545,1
547,1
550,1
553,1
554,1
558,1
561,1
569,1
570,1
579,1
581,1
587,1
595,1
596,1
597,1
599,1
604,1
607,1
611,1
612,1
613,1
614,1
618,1
619,1
623,1
627,1
634,1
635,1
637,1
638,1
643,1
644,1
646,1
647,1
649,1
655,1
659,1
662,1
666,1
669,1
670,1
673,1
674,1
675,1
681,1
685,1
687,1
688,1
692,1
696,1
699,1
700,1
702,1
707,1
710,1
712,1
717,1
718,1
719,1
723,1
738,1
742,1
744,1
748,1
750,1
751,1
756,1
761,1
763,1
765,1
770,1
771,1
776,1
777,1
780,1
782,1
784,1
795,1
797,1
799,1
805,1
812,1
819,1
820,1
821,1
823,1
825,1
830,1
831,1
833,1
836,1
837,1
844,1
845,1
853,1
854,1
856,1
857,1
863,1
867,1
871,1
875,1
878,1
879,1
881,1
886,1
888,1
891,1
896,1
897,1
898,1
900,1
902,1
903,1
905,1
906,1
911,1
913,1
914,1
915,1
920,1
922,1
924,1
926,1
929,1
930,1
936,1
940,1
944,1
946,1
947,1
948,1
952,1
956,1
958,1
961,1
962,1
967,1
968,1
969,1
976,1
979,1
985,1
990,1
996,1
1005,1
1011,1
1013,1
1014,1
